"","lat","lng"
"328",38.9411119,-76.5410412
"329",-1.3947505,120.7407425
"330",53.2326344,-2.6103158
"331",-36.383333,145.4
"332",52.282316,-1.584927
"333",34.3293365,134.0579824
"334",50.7487635,-2.3444786
"335",42.8125913,-70.8772751
"336",52.6680204,-8.6304976
"337",52.1306607,-3.7837117
"338",50.2660471,-5.0527125
"339",40.4167754,-3.7037902
"340",51.903761,-0.196612
"341",23.424076,53.847818
"342",52.8792745,-2.0571868
"343",52.6772117,6.190951
"344",52.6429144,6.1994944
"345",52.6775834,6.1870794
"346",52.6845169,6.1917755
"347",52.6581078,6.2092538
"348",52.6426977,6.2006265
"349",52.4387814,6.5016411
"350",53.448717,-2.374697
"351",48.4284207,-123.3656444
"352",53.3123898,-6.3572264
"353",52.5579645,5.9144617
"354",38.2544472,-104.6091409
"355",53.4285438,14.5528116
"356",53.830186,-1.820804
"357",52.6308859,1.297355
"358",33.1958696,-117.3794834
"359",33.7629826,-84.5137573
"360",40.2170534,-74.7429384
"361",41.6639383,-83.555212
"362",36.3955891,-97.8783911
"363",35.041539,-85.1583064
"364",37.404008,-122.132517
"365",50.966414,0.095913
"366",32.3182314,-86.902298
"367",36.860402,-76.3036051
"368",45.4215296,-75.6971931
"369",32.8998091,-97.0403352
"370",32.7517028,-97.0675521
"371",40.208512,-75.657972
"372",36.8529263,-75.977985
"373",44.309058,-78.319747
"374",43.8041334,-120.5542012
"375",33.3703197,-112.5837766
"376",30.4382559,-84.2807329
"377",40.1439985,-75.1157286
"378",39.4142688,-77.4105409
"379",27.7676008,-82.6402915
"380",39.9326266,-75.1618345
"381",40.0084456,-75.26046
"382",37.5071591,-122.2605222
"383",40.8147955,-77.8653126
"384",45.2671352,19.8335496
"385",39.8648194,-75.4257325
"386",40.0064958,-75.7032742
"387",52.349557,-1.58073
"388",46.8771863,-96.7898034
"389",39.9606643,-75.6054882
"390",38.4852928,-78.951451
"391",37.2159063,-80.7879407
"392",36.9765274,-78.5433701
"393",33.1506744,-96.8236116
"394",30.9842977,-91.9623327
"395",39.0997265,-94.5785667
"396",43.79355,-79.5121708
"397",51.253775,-85.323214
"398",29.6196787,-95.6349463
"399",40.2115109,-74.6796651
"400",-6.17511,106.8650395
"401",41.9209018,-73.9612887
"402",41.308274,-72.9278835
"403",47.5206407,-52.8076818
"404",33.4017766,-86.954437
"405",42.1667072,-83.7816075
"406",30.087779,-95.633968
"407",33.9533487,-117.3961564
"408",-6.4764925,107.0303221
"409",33.6475451,-117.5760306
"410",24.7135517,46.6752957
"411",59.9138688,10.7522454
"412",43.0759678,-107.2902839
"413",40.1416782,-75.1926937
"414",40.6656761,-73.8932513
"415",56.206132,-3.4229
"416",28.698182,-81.3387812
"417",17.0746557,-61.8175207
"418",33.1580933,-117.3505939
"419",51.656991,-3.805476
"420",36.1902524,-95.8895752
"421",41.0400135,-73.7144477
"422",36.7468422,-119.7725868
"423",33.4734978,-82.0105148
"424",53.3933102,-2.1266325
"425",46.2370097,6.1091564
"426",41.4901024,-71.3128285
"427",45.3875812,-75.6960202
"428",50.71505,-1.987248
"429",33.6831832,-117.6664308
"430",38.435092,-78.8697548
"431",41.556996,-83.627157
"432",41.525031,-88.0817251
"433",40.8042674,-74.012084
"434",33.0151201,-96.5388789
"435",41.0589855,-74.0218063
"436",50.7081841,-120.3635924
