"","X","lat","lng","States"
"414",NA,40.6656761,-73.8932513,"New York"
"415",NA,56.206132,-3.4229,NA
"416",NA,28.698182,-81.3387812,"Florida"
"417",NA,17.0746557,-61.8175207,NA
"418",NA,33.1580933,-117.3505939,"California"
"419",NA,51.656991,-3.805476,NA
"420",NA,36.1902524,-95.8895752,"Oklahoma"
"421",NA,41.0400135,-73.7144477,"New York"
"422",NA,36.7468422,-119.7725868,"California"
"423",NA,33.4734978,-82.0105148,"Georgia"
"424",NA,53.3933102,-2.1266325,"England"
"425",NA,46.2370097,6.1091564,NA
"426",NA,41.4901024,-71.3128285,"Rhode Island"
"427",NA,45.3875812,-75.6960202,"Ontario"
"428",NA,50.71505,-1.987248,"England"
"429",NA,33.6831832,-117.6664308,"California"
"430",NA,38.435092,-78.8697548,"Virginia"
"431",NA,41.556996,-83.627157,"Ohio"
"432",NA,41.525031,-88.0817251,"Illinois"
"433",NA,40.8042674,-74.012084,"New Jersey"
"434",NA,33.0151201,-96.5388789,"Texas"
"435",NA,41.0589855,-74.0218063,"New York"
"436",NA,50.7081841,-120.3635924,"British Columbia"
"437",NA,42.3115658,-82.9447583,"Ontario"
"438",NA,36.0726354,-79.7919754,"North Carolina"
"439",NA,20.593684,78.96288,NA
"440",NA,NA,NA,NA
"441",NA,38.8816208,-77.0909809,"Virginia"
"442",NA,29.063309,-82.05077,"Florida"
"443",NA,45.3473925,-80.034783,"Ontario"
"444",NA,41.6032207,-73.087749,"Connecticut"
"445",NA,41.3850639,2.1734035,NA
"446",NA,33.701925,-84.3168932,"Georgia"
"447",NA,52.9547832,-1.1581086,"England"
"448",NA,41.2042616,-73.7270761,"New York"
"449",NA,3.139003,101.686855,NA
"450",NA,32.2217429,-110.926479,"Arizona"
"451",NA,42.2411344,-88.3161965,"Illinois"
"452",NA,36.1539816,-95.992775,"Oklahoma"
"453",NA,51.9048039,-8.9588478,NA
"454",NA,41.947969,-87.7861711,"Illinois"
"455",NA,34.2257255,-77.9447102,"North Carolina"
"456",NA,36.8507689,-76.2858726,"Virginia"
"457",NA,40.3572976,-74.6672226,"New Jersey"
"458",NA,37.8031056,-89.0275744,"Illinois"
"459",NA,34.502587,-84.9510542,"Georgia"
"460",NA,29.98556,-97.1338899,"Texas"
"461",NA,-33.9248685,18.4240553,NA
"462",NA,NA,NA,NA
"463",NA,42.583645,-83.2454883,"Michigan"
"464",NA,34.7540524,-77.4302414,"North Carolina"
"465",NA,42.5629668,-114.4608711,"Idaho"
"466",NA,35.2225668,-97.4394777,"Oklahoma"
"467",NA,33.6188829,-117.9298493,"California"
"468",NA,53.1423672,-7.6920536,NA
"469",NA,51.5672808,-0.2710568,"England"
"470",NA,33.5206608,-86.80249,NA
"471",NA,54.0103942,-2.7877294,"England"
"472",NA,42.9876575,-80.5974658,"Ontario"
"473",NA,52.2729944,-0.8755515,"England"
"474",NA,39.165325,-86.5263857,NA
"475",NA,39.0398315,-76.9930319,"Maryland"
"476",NA,26.1947962,-98.1836216,"Texas"
"477",NA,42.1306563,-70.9161551,"Massachusetts"
"478",NA,39.1031182,-84.5120196,"Ohio"
"479",NA,NA,NA,NA
"480",NA,NA,NA,NA
"481",NA,40.8489887,-73.6448505,"New York"
"482",NA,35.9828412,-86.5186045,"Tennessee"
"483",NA,41.8320432,-86.2591094,"Michigan"
"484",NA,31.056794,-82.272327,"Georgia"
"485",NA,40.735657,-74.1723667,"New Jersey"
"486",NA,40.767323,-74.2048677,"New Jersey"
"487",NA,39.4189762,-92.4417111,"Missouri"
"488",NA,35.9131996,-79.0558445,"North Carolina"
"489",NA,40.0362184,-75.5138118,"Pennsylvania"
"490",NA,40.6639916,-74.2107006,"New Jersey"
"491",NA,44.3276037,-76.1643011,"Ontario"
"492",NA,30.0810395,-97.8435878,"Texas"
"493",NA,50.718412,-3.533899,"England"
"494",NA,40.3025907,-74.511172,"New Jersey"
"495",NA,44.4267674,26.1025384,NA
"496",NA,42.4072107,-71.3824374,"Massachusetts"
"497",NA,39.0249705,-111.5102702,NA
"498",NA,50.77749,6.10362,NA
"499",NA,53.9498042,-1.0989716,"England"
"500",NA,53.9992906,-1.1344697,"England"
"501",NA,53.9891159,-0.7810217,"England"
"502",NA,52.4579659,4.7510425,NA
"503",NA,38.8942786,-77.4310992,"Virginia"
"504",NA,-14.235004,-51.92528,NA
"505",NA,40.4167515,-3.7038322,NA
"506",NA,39.4863773,-75.0259637,"New Jersey"
"507",NA,42.7070354,-71.1631137,"Massachusetts"
"508",NA,41.2074444,-73.9973089,"New York"
"509",NA,55.953252,-3.188267,NA
"510",NA,35.7475692,-95.370026,"Oklahoma"
"511",NA,51.5797465,-0.1236767,"England"
"512",NA,51.5390261,-0.1425516,"England"
"513",NA,36.2950067,-95.8353466,"Oklahoma"
"514",NA,52.205337,0.121817,"England"
"515",NA,40.0378755,-76.3055144,"Pennsylvania"
"516",NA,NA,NA,NA
"517",NA,42.768967,-73.4509464,"New York"
"518",NA,NA,NA,NA
"519",NA,-27.6624852,152.8906379,"Queensland"
"520",NA,NA,NA,NA
"521",NA,30.2460361,-87.7008193,NA
"522",NA,-12.0463731,-77.042754,NA
"523",NA,63.746693,-68.5169669,NA
"524",NA,NA,NA,NA
"525",NA,40.0131418,-75.2304038,"Pennsylvania"
"526",NA,40.3780674,-80.0666743,"Pennsylvania"
"527",NA,40.3791324,-80.0451348,"Pennsylvania"
"528",NA,45.5230622,-122.6764815,NA
"529",NA,43.8975446,-78.9429329,"Ontario"
"530",NA,45.400879,-75.6520144,"Ontario"
"531",NA,46.6020711,-120.5058987,"Washington"
"532",NA,41.7747878,-78.0205602,"Pennsylvania"
"533",NA,41.2709274,-73.7776336,"New York"
"534",NA,40.6955339,-73.9874589,"New York"
"535",NA,25.9428707,-80.1233802,"Florida"
"536",NA,-31.9505269,115.8604572,"Western Australia"
"537",NA,40.7552678,-73.8166179,"New York"
"538",NA,43.8310379,-79.0353927,"Ontario"
"539",NA,40.8525549,-73.9310241,"New York"
"540",NA,43.6187102,-116.2146068,"Idaho"
"541",NA,35.9940329,-78.898619,"North Carolina"
"542",NA,-34.9284989,138.6007456,NA
"543",NA,3.320482,101.5759238,NA
"544",NA,-23.5661356,-46.8730301,NA
"545",NA,-22.6874722,-46.9972634,NA
"546",NA,38.0564679,-83.9432556,"Kentucky"
"547",NA,40.463667,-3.74922,NA
"548",NA,34.4208305,-119.6981901,"California"
"549",NA,41.8077115,-87.7602365,"Illinois"
"550",NA,40.8842544,-74.5625386,"New Jersey"
"551",NA,40.940029,-75.9894498,"Pennsylvania"
"552",NA,32.5890238,-96.3088693,"Texas"
"553",NA,10.691803,-61.222503,NA
"554",NA,41.6611187,-92.0090673,"Iowa"
"555",NA,21.3069444,-157.8583333,NA
"556",NA,47.2528768,-122.4442906,"Washington"
"557",NA,41.117744,-73.4081575,"Connecticut"
"558",NA,-26.6525593,150.7040975,"Queensland"
"559",NA,-22.9068467,-43.1728965,"State of Rio de Janeiro"
"560",NA,36.8364744,-119.8034712,"California"
"561",NA,33.8360034,-79.0478143,NA
"562",NA,38.9108325,-75.5276699,NA
"563",NA,38.6608855,-90.422618,"Missouri"
"564",NA,45.3840077,-122.7639851,NA
"565",NA,52.2257,-2.742772,"England"
"566",NA,46.3523219,-124.0543234,"Washington"
"567",NA,39.6048253,-76.8499774,"Maryland"
"568",NA,41.8953045,-87.6485181,"Illinois"
"569",NA,41.0814447,-81.5190053,"Ohio"
"570",NA,45.4562158,-123.8440137,NA
"571",NA,40.8257625,-96.6851982,"Nebraska"
"572",NA,40.2203907,-74.0120817,"New Jersey"
"573",NA,37.9100783,-122.0651819,"California"
"574",NA,41.3838782,-72.9026064,"Connecticut"
"575",NA,29.9510658,-90.0715323,NA
"576",NA,39.6837226,-75.7496572,NA
"577",NA,37.8043637,-122.2711137,"California"
